var,cat,group,arr,auto
BC_ExtOrgAcc,BC,Carbon Balance,,
BC_ExtOrgInput,BC,Carbon Balance,,
BC_GWeffect_CO2_eq_g_per_m2,BC,Carbon Balance,,
BC_HarvestedC,BC,Carbon Balance,,
BC_HarvestedT,BC,Carbon Balance,,
BC_Inflows,BC,Carbon Balance,,
BC_NecromasC,BC,Carbon Balance,,
BC_NetBal,BC,Carbon Balance,,
BC_OrgC,BC,Carbon Balance,,
BC_Outflows,BC,Carbon Balance,,
BC_SeedInc,BC,Carbon Balance,,
BC_SOM,BC,Carbon Balance,,Yes
BC_SOMInit,BC,Carbon Balance,,
BC_TimeAvg_CStock,BC,Carbon Balance,,
BC_TotalHarvested,BC,Carbon Balance,,
BC_TotalRespired,BC,Carbon Balance,,
BC_TPhotoInc,BC,Carbon Balance,,
BC_TPhotosynth,BC,Carbon Balance,,
BC_TPlantMatTot,BC,Carbon Balance,,
BC_Tree,BC,Carbon Balance,,
BC_TreeInit,BC,Carbon Balance,,
BC_TreeInitTot,BC,Carbon Balance,,
BC_TRespforFix,BC,Carbon Balance,,
BC_TSeedInc,BC,Carbon Balance,,
BC_Weed,BC,Carbon Balance,,
BC_WeedCInflux,BC,Carbon Balance,,
BC_WeedSeedIn,BC,Carbon Balance,,
BC_WeedSeeds,BC,Carbon Balance,,
BN_CBiomInc,BN,Nitrogen Balance,nut_df,
BN_CBiomInit,BN,Nitrogen Balance,nut_df,
BN_ChangeStocks,BN,Nitrogen Balance,nut_df,
BN_CHarvCum,BN,Nitrogen Balance,nut_df,
BN_CNdfaFrac,BN,Nitrogen Balance,,
BN_CNFixCum,BN,Nitrogen Balance,nut_df,
BN_CResidRemoved,BN,Nitrogen Balance,nut_df,
BN_CropWeed,BN,Nitrogen Balance,nut_df,
BN_CropBiom,BN,Nitrogen Balance,nut_df,Yes
BN_CropInit,BN,Nitrogen Balance,nut_df,
BN_CUptCum,BN,Nitrogen Balance,nut_df,
BN_CUptInc,BN,Nitrogen Balance,nut_df,
BN_CUptTot,BN,Nitrogen Balance,nut_df,Yes
BN_EffluxTot,BN,Nitrogen Balance,nut_df,
BN_ExtOrgAcc,BN,Nitrogen Balance,nut_df,
BN_ExtOrgInputs,BN,Nitrogen Balance,nut_df,
BN_Fert,BN,Nitrogen Balance,nut_df,
BN_FertCum,BN,Nitrogen Balance,nut_df,
BN_ImmInit,BN,Nitrogen Balance,nut_df,
BN_ImmInput,BN,Nitrogen Balance,nut_df,
BN_ImmInputF,BN,Nitrogen Balance,nut_df,
BN_Immob,BN,Nitrogen Balance,nut_df,
BN_ImmPool,BN,Nitrogen Balance,nut_df,
BN_InfluxTot,BN,Nitrogen Balance,nut_df,
BN_LatInCum,BN,Nitrogen Balance,nut_df,
BN_LatOut,BN,Nitrogen Balance,nut_df,
BN_LatOutCum,BN,Nitrogen Balance,nut_df,
BN_Leaching,BN,Nitrogen Balance,nut_df,
BN_LeachingTot,BN,Nitrogen Balance,nut_df,
BN_Lit,BN,Nitrogen Balance,nut_df,
BN_LitInit,BN,Nitrogen Balance,nut_df,
BN_NetBal,BN,Nitrogen Balance,nut_df,
BN_NutVolatCum,BN,Nitrogen Balance,nut_df,
BN_OrgNP,BN,Nitrogen Balance,nut_df,
BN_RootBiomasNP,BN,Nitrogen Balance,nut_df,
BN_RunOff,BN,Nitrogen Balance,nut_df,
BN_RunOffLoss,BN,Nitrogen Balance,nut_df,
BN_ScorchWRem,BN,Nitrogen Balance,pcomp_df,
BN_Som,BN,Nitrogen Balance,nut_df,Yes
BN_SOMInit,BN,Nitrogen Balance,nut_df,
BN_SOMLit,BN,Nitrogen Balance,nut_df,
BN_StockInit,BN,Nitrogen Balance,nut_df,
BN_StocksTotInit,BN,Nitrogen Balance,nut_df,
BN_StockTot,BN,Nitrogen Balance,nut_df,
BN_StockZone,BN,Nitrogen Balance,zonenut_df,
BN_SumofFluxes,BN,Nitrogen Balance,nut_df,
BN_SurfRO,BN,Nitrogen Balance,nut_df,
BN_THarvCumAll,BN,Nitrogen Balance,pcomp_df,
BN_TNdfaFrac,BN,Nitrogen Balance,tree_df,
BN_TNFixAmountCum,BN,Nitrogen Balance,treenut_df,
BN_TreeInc,BN,Nitrogen Balance,nut_df,
BN_TreeInit,BN,Nitrogen Balance,nut_df,
BN_TUptCum,BN,Nitrogen Balance,treenut_df,
BN_TUptInc,BN,Nitrogen Balance,treenut_df,
BN_WeedBiom,BN,Nitrogen Balance,nut_df,
BN_WeedSeedBank,BN,Nitrogen Balance,nut_df,
BN_WeedSeedInit,BN,Nitrogen Balance,nut_df,
BS_Check,BS,Soil Balance,,
BS_ErosionFilterEffect,BS,Soil Balance,,
BS_GrossErosionCum,BS,Soil Balance,,
BS_Neg,BS,Soil Balance,,
BS_NetErosionCum,BS,Soil Balance,,
BS_Pos,BS,Soil Balance,,
BS_SoilCurr,BS,Soil Balance,,
BS_SoilCurrZn,BS,Soil Balance,zone_df,
BS_SoilDelta,BS,Soil Balance,,
BS_SoilIncr,BS,Soil Balance,zone_df,
BS_SoilInflowCum,BS,Soil Balance,,
BS_SoilInit,BS,Soil Balance,,
BS_SoilInitZn,BS,Soil Balance,zone_df,
BW_CumEvapoTrans,BW,Water Balance,,
BW_DrainCumV,BW,Water Balance,,
BW_EffluxTot,BW,Water Balance,,
BW_Evap,BW,Water Balance,,
BW_EvapCum,BW,Water Balance,,
BW_FluxDiff,BW,Water Balance,,
BW_InfluxTot,BW,Water Balance,,
BW_LatInCum,BW,Water Balance,,
BW_LatOut,BW,Water Balance,,
BW_LatOutCum,BW,Water Balance,,Yes
BW_NetBal,BW,Water Balance,,Yes
BW_RunOff,BW,Water Balance,,
BW_RunOffCum,BW,Water Balance,,
BW_RunOn,BW,Water Balance,,
BW_RunOnCum,BW,Water Balance,,
BW_StockChange,BW,Water Balance,,
BW_StockInit,BW,Water Balance,,
BW_StockTot,BW,Water Balance,,
BW_UptC,BW,Water Balance,,
BW_UptCCum,BW,Water Balance,,Yes
BW_UptT,BW,Water Balance,tree_df,
BW_UptTCum,BW,Water Balance,tree_df,Yes
BW_UptWCum,BW,Water Balance,,
BW_VDrain,BW,Water Balance,,
BW_WeedEvap,BW,Water Balance,,
C_AgronYields,C,Crop Growth,crop_df,
C_AgronYieldsCum,C,Crop Growth,crop_df,
C_AgronYPerType,C,Crop Growth,zonecrop_df,
C_AgYieldAcc,C,Crop Growth,zonecrop_df,
C_Biom,C,Crop Growth,zonepcomp_df,Yes
C_BiomCan,C,Crop Growth,zonepcomp_df,Yes
C_BiomCan_is,C,Crop Growth,zone_df,
C_BiomCanAvg,C,Crop Growth,pcomp_df,
C_BiomforResp,C,Crop Growth,zone_df,
C_BiomHarv_is,C,Crop Growth,,
C_BiomHarvest,C,Crop Growth,zonepcomp_df,
C_BiomHarvestCum,C,Crop Growth,zonepcomp_df,
C_BiomHarvestDay,C,Crop Growth,,
C_BiomHarvestDoY,C,Crop Growth,,
C_BiomHarvestEvent,C,Crop Growth,,
C_BiomHarvestFracD,C,Crop Growth,,
C_BiomHarvestPast,C,Crop Growth,,
C_BiomHarvestY,C,Crop Growth,,
C_BiomInc,C,Crop Growth,zonepcomp_df,
C_BiomStLv,C,Crop Growth,zonepcomp_df,
C_CanUp,C,Crop Growth,zone_df,
C_CropDayAc,C,Crop Growth,zone_df,
C_CropDays,C,Crop Growth,zone_df,
C_CumLim,C,Crop Growth,zonelimit_df,
C_CurLimFac,C,Crop Growth,zonelimit_df,
C_FracLim,C,Crop Growth,limit_df,
C_FruitLoss,C,Crop Growth,zonepcomp_df,
C_GroRes,C,Crop Growth,zonepcomp_df,
C_GrowsToday_is,C,Crop Growth,,
C_HarvestCum,C,Crop Growth,zonepcomp_df,
C_HarvIndAct,C,Crop Growth,zone_df,
C_Height,C,Crop Growth,zone_df,
C_HeightDec,C,Crop Growth,zone_df,
C_HeightInc,C,Crop Growth,zone_df,
C_HydEqFluxes,C,Crop Growth,zone_df,
C_Init,C,Crop Growth,zonepcomp_df,
C_LAI,C,Crop Growth,zone_df,
C_LAIMax,C,Crop Growth,zone_df,
C_MaintResp,C,Crop Growth,zone_df,
C_NBiom,C,Crop Growth,zonenut_df,
C_NDeficit,C,Crop Growth,zonenut_df,
C_NDemand,C,Crop Growth,zonenut_df,Yes zone
C_NDfaTot,C,Crop Growth,zonenut_df,
C_NewCropPlanted,C,Crop Growth,,
C_NFIX,C,Crop Growth,zonenut_df,
C_NHarvestCum,C,Crop Growth,zonenut_df,
C_NInit,C,Crop Growth,zonenut_df,
C_NNecroLitF,C,Crop Growth,zonenut_df,
C_NPosgro,C,Crop Growth,zonenut_df,Yes zone
C_NResidMulch,C,Crop Growth,zonenut_df,
C_NResidRemoved,C,Crop Growth,zonenut_df,
C_NRoot,C,Crop Growth,zonenut_df,
C_NTarget,C,Crop Growth,zonenut_df,
C_NTargetNBiomRatio,C,Crop Growth,zonenut_df,
C_NUptDeno,C,Crop Growth,zonenut_df,
C_NUptPot,C,Crop Growth,zonenut_df,Yes zone
C_NUptRel,C,Crop Growth,zonelayernut_df,
C_NUptRelDeno,C,Crop Growth,zonenut_df,
C_NUptTot,C,Crop Growth,zonenut_df,Yes zone
C_NWeedSeed,C,Crop Growth,zonenut_df,
C_NYield,C,Crop Growth,zonenut_df,
C_PlantDiesToday_is,C,Crop Growth,zone_df,
C_PotGroRed,C,Crop Growth,zone_df,
C_Resid,C,Crop Growth,zonepcomp_df,
C_ResidLast,C,Crop Growth,zonepcomp_df,
C_ResidMulch,C,Crop Growth,zonepcomp_df,
C_ResidRecycle,C,Crop Growth,zonepcomp_df,
C_ResidRemoved,C,Crop Growth,zonepcomp_df,
C_Respiration,C,Crop Growth,zonepcomp_df,
C_RespTemp,C,Crop Growth,zone_df,
C_Root,C,Crop Growth,zonelayer_df,
C_Root,C,Crop Growth,zonelayer_df,
C_Root,C,Crop Growth,zonelayer_df,
C_RootGrowth,C,Crop Growth,zonepcomp_df,
C_RootPlComp,C,Crop Growth,zonepcomp_df,
C_RtAllocAct,C,Crop Growth,zonelayer_df,
C_RtDecay,C,Crop Growth,zonelayer_df,
C_RtDecay,C,Crop Growth,zonelayer_df,
C_RtDecay,C,Crop Growth,zonelayer_df,
C_RtIncr,C,Crop Growth,zonelayer_df,
C_RtIncr,C,Crop Growth,zonelayer_df,
C_RtIncr,C,Crop Growth,zonelayer_df,
C_StLeafInc,C,Crop Growth,zonepcomp_df,
C_StLeaveMulch,C,Crop Growth,zonepcomp_df,
C_StRt,C,Crop Growth,zone_df,
C_TempDevStage,C,Crop Growth,,
C_WeedGermin,C,Crop Growth,zonepcomp_df,
C_WeedSeedBank,C,Crop Growth,zonepcomp_df,
C_WeedSeedDecay,C,Crop Growth,zonepcomp_df,
C_WeedSeedFall,C,Crop Growth,zonepcomp_df,
C_WeedSeedInflux,C,Crop Growth,zonepcomp_df,
C_Yield,C,Crop Growth,zonepcomp_df,
C_YieldCurr,C,Crop Growth,zonepcomp_df,
C_YieldInc,C,Crop Growth,zonepcomp_df,
CA_ComplCrop,CA,Crop Management (Agronomy/Calendar),zone_df,
CA_CropSequen,CA,Crop Management (Agronomy/Calendar),zone_df,
CA_ExtOrg,CA,Crop Management (Agronomy/Calendar),inp_df,
CA_ExtOrgApply_is,CA,Crop Management (Agronomy/Calendar),inp_df,
CA_ExtOrgAppZn,CA,Crop Management (Agronomy/Calendar),zoneinp_df,
CA_FertAmount,CA,Crop Management (Agronomy/Calendar),zone_df,
CA_FertApp,CA,Crop Management (Agronomy/Calendar),,
CA_FertAppDoY,CA,Crop Management (Agronomy/Calendar),,
CA_FertApply_is,CA,Crop Management (Agronomy/Calendar),nut_df,
CA_FertAppTime,CA,Crop Management (Agronomy/Calendar),,
CA_FertAppYear,CA,Crop Management (Agronomy/Calendar),,
CA_FertN,CA,Crop Management (Agronomy/Calendar),nut_df,
CA_FertNZn,CA,Crop Management (Agronomy/Calendar),zonenut_df,
CA_ImmAmount,CA,Crop Management (Agronomy/Calendar),zonenut_df,
CA_ImmApp,CA,Crop Management (Agronomy/Calendar),nut_df,
CA_ImmDOY,CA,Crop Management (Agronomy/Calendar),nut_df,
CA_ImmInput,CA,Crop Management (Agronomy/Calendar),zonenut_df,
CA_ImmTime,CA,Crop Management (Agronomy/Calendar),nut_df,
CA_ImmY,CA,Crop Management (Agronomy/Calendar),nut_df,
CA_PastFertApp,CA,Crop Management (Agronomy/Calendar),,
CA_PastImmInp,CA,Crop Management (Agronomy/Calendar),nut_df,
CA_PlantDoY,CA,Crop Management (Agronomy/Calendar),zone_df,
CA_PlantTime,CA,Crop Management (Agronomy/Calendar),zone_df,
CA_PlantYear,CA,Crop Management (Agronomy/Calendar),zone_df,
CENT_Bal_NP_Total,CENT,Century SOM Model - Carbon,nut_df,
CENT_BalLitter,CENT,Century SOM Model - Carbon,nut_df,
CENT_BalNeg,CENT,Century SOM Model - Carbon,nut_df,
CENT2_BalNeg,CENT2,Century SOM Model - Carbon (Alt. Method),nut_df,
CENT_BalPos,CENT,Century SOM Model - Carbon,nut_df,
CENT2_BalPos,CENT2,Century SOM Model - Carbon (Alt. Method),nut_df,
CENT_CO2Tot,CENT,Century SOM Model - Carbon,,
CENT_ExtInpNInc,CENT,Century SOM Model - Carbon,nut_df,
CENT_ExtOrgInputs,CENT,Century SOM Model - Carbon,nut_df,
CENT_InputCO2Tot,CENT,Century SOM Model - Carbon,,
CENT2_LitMetStrInit,CENT2,Century SOM Model - Carbon (Alt. Method),nut_df,
CENT2_LitSomTransfAcc,CENT2,Century SOM Model - Carbon (Alt. Method),nut_df,
CENT_LitterNInc,CENT,Century SOM Model - Carbon,nut_df,
CENT_LitterNInflow,CENT,Century SOM Model - Carbon,nut_df,
CENT2_LittPoolsInit,CENT2,Century SOM Model - Carbon (Alt. Method),nut_df,
CENT_MetStrCTot,CENT,Century SOM Model - Carbon,,
CENT_NInc,CENT,Century SOM Model - Carbon,nut_df,
CENT2_NInc,CENT2,Century SOM Model - Carbon (Alt. Method),nut_df,
CENT_NOut,CENT,Century SOM Model - Carbon,nut_df,
CENT2_NOut,CENT2,Century SOM Model - Carbon (Alt. Method),nut_df,
CENT_SOMCO2Tot,CENT,Century SOM Model - Carbon,,
CENT_SOMCTot,CENT,Century SOM Model - Carbon,,
CENT2_SOMMetStrInit,CENT2,Century SOM Model - Carbon (Alt. Method),nut_df,
CENT2_SOMNInc,CENT2,Century SOM Model - Carbon (Alt. Method),nut_df,
CENT2_SOMNinflow,CENT2,Century SOM Model - Carbon (Alt. Method),nut_df,
CENT2_SOMPoolsInit,CENT2,Century SOM Model - Carbon (Alt. Method),nut_df,
CENT_StockInit,CENT,Century SOM Model - Carbon,nut_df,
Cent2LitSomAcc,CENT2,Century SOM Model - Carbon (Alt. Method),nut_df,
CQ_AgronYieldMoistFrac,CQ,Crop Growth Parameters,zone_df,
CQ_C,CQ,Crop Growth Parameters,zone_df,
CQ_CHarvAlloc,CQ,Crop Growth Parameters,zonecrop_df,
CQ_CHarvAllocCurr,CQ,Crop Growth Parameters,zone_df,
CQ_ClosedCanCurr,CQ,Crop Growth Parameters,zone_df,
CQ_CLWR,CQ,Crop Growth Parameters,zonecrop_df,
CQ_CLWRCurr,CQ,Crop Growth Parameters,zone_df,
CQ_ConductivityCurr,CQ,Crop Growth Parameters,zone_df,
CQ_CovEffCurr,CQ,Crop Growth Parameters,zone_df,
CQ_CRelLUE,CQ,Crop Growth Parameters,zonecrop_df,
CQ_CRelLUECurr,CQ,Crop Growth Parameters,zone_df,
CQ_CropType,CQ,Crop Growth Parameters,zone_df,
CQ_CropWeedSwitch,CQ,Crop Growth Parameters,zone_df,
CQ_CRtAlloc,CQ,Crop Growth Parameters,zonecrop_df,
CQ_CRtAllocCurr,CQ,Crop Growth Parameters,zone_df,
CQ_CSLA,CQ,Crop Growth Parameters,zonecrop_df,
CQ_CSLACurr,CQ,Crop Growth Parameters,zone_df,
CQ_CTimeGenCurr,CQ,Crop Growth Parameters,zone_df,
CQ_CTimeVegCurr,CQ,Crop Growth Parameters,zone_df,
CQ_CType,CQ,Crop Growth Parameters,zone_df,
CQ_CWswitch,CQ,Crop Growth Parameters,zone_df,
CQ_DOYFlwDOYBegin,CQ,Crop Growth Parameters,zone_df,
CQ_DOYFlwEnd,CQ,Crop Growth Parameters,zone_df,
CQ_GroMaxCurr,CQ,Crop Growth Parameters,zone_df,
CQ_GSeedCurr,CQ,Crop Growth Parameters,zone_df,
CQ_HBiomConvCurr,CQ,Crop Growth Parameters,zone_df,
CQ_kLightCurr,CQ,Crop Growth Parameters,zone_df,
CQ_LignResidCurr,CQ,Crop Growth Parameters,zone_df,
CQ_LignRootResCurr,CQ,Crop Growth Parameters,zone_df,
CQ_MaxMycInf,CQ,Crop Growth Parameters,zone_df,
CQ_NConcOldCurr,CQ,Crop Growth Parameters,zonenut_df,
CQ_NConcYoungCurr,CQ,Crop Growth Parameters,zonenut_df,
CQ_NFixDailyFracCurr,CQ,Crop Growth Parameters,zone_df,
CQ_NFixDWMaxFracCurr,CQ,Crop Growth Parameters,zone_df,
CQ_NFixDWUnitCostCurr,CQ,Crop Growth Parameters,zone_df,
CQ_NFixRespCurr,CQ,Crop Growth Parameters,zone_df,
CQ_NFixVariable_isCurr,CQ,Crop Growth Parameters,zone_df,
CQ_NRtConcCurr,CQ,Crop Growth Parameters,zone_df,
CQ_PolyResid,CQ,Crop Growth Parameters,zone_df,
CQ_PolyRt,CQ,Crop Growth Parameters,zone_df,
CQ_PotSuctAlphMaxCurr,CQ,Crop Growth Parameters,zone_df,
CQ_PotSuctAlphMinCurr,CQ,Crop Growth Parameters,zone_df,
CQ_RainWStorCapCurr,CQ,Crop Growth Parameters,zone_df,
CQ_RelLightMaxCurr,CQ,Crop Growth Parameters,zone_df,
CQ_RemobFrac,CQ,Crop Growth Parameters,zone_df,
CQ_RtDiam,CQ,Crop Growth Parameters,zone_df,
CQ_SingleCycle_isCur,CQ,Crop Growth Parameters,zone_df,
CQ_Stage,CQ,Crop Growth Parameters,zone_df,
CQ_StageAfterHarvest,CQ,Crop Growth Parameters,zone_df,
CQ_StageInc,CQ,Crop Growth Parameters,zone_df,
CQ_TranspRatioCurr,CQ,Crop Growth Parameters,zone_df,
CQ_WeedRestart_is,CQ,Crop Growth Parameters,zone_df,
CQ_WeedZn_is,CQ,Crop Growth Parameters,zone_df,
CW_Best,CW,Crop Water,zonebuf_df,
CW_CheckShouldBe,CW,Crop Water,zone_df,
CW_Conduct,CW,Crop Water,zonelayer_df,
CW_ConductSum,CW,Crop Water,zone_df,
CW_DemandAct,CW,Crop Water,zone_df,
CW_DemandActRange,CW,Crop Water,zonebuf_df,
CW_DemandPerRoot,CW,Crop Water,zone_df,
CW_DemandPot,CW,Crop Water,zone_df,
CW_DemandRedFac,CW,Crop Water,zone_df,
CW_DemRedFacRange,CW,Crop Water,zonebuf_df,
CW_DriestVoxel,CW,Crop Water,zone_df,
CW_DryFactRangePower,CW,Crop Water,zone_df,
CW_DryFactRangeUpdate,CW,Crop Water,zone_df,
CW_DrySoilFact,CW,Crop Water,zonebuf_df,
CW_EqTheta,CW,Crop Water,zonelayer_df,
CW_HEGrad,CW,Crop Water,zonelayer_df,
CW_HEqFactor,CW,Crop Water,zone_df,
CW_Hyd,CW,Crop Water,zonelayer_df,
CW_HydF,CW,Crop Water,zonelayer_df,
CW_HydFlux,CW,Crop Water,zonelayer_df,
CW_HydFluxPosTot,CW,Crop Water,zone_df,
CW_HydR,CW,Crop Water,zonelayer_df,
CW_HydRInvSum,CW,Crop Water,zone_df,
CW_m,CW,Crop Water,zone_df,
CW_MaxUptofRange,CW,Crop Water,zone_df,
CW_pF,CW,Crop Water,zonebuf_df,
CW_Posgro,CW,Crop Water,zone_df,Yes zone
CW_Pot,CW,Crop Water,zone_df,
CW_PotAct,CW,Crop Water,zone_df,
CW_PotActCor,CW,Crop Water,zone_df,
CW_PotActRange,CW,Crop Water,zonebuf_df,
CW_PotDelta,CW,Crop Water,zonelayer_df,
CW_PotFlux,CW,Crop Water,zonelayer_df,
CW_PotFluxNeg,CW,Crop Water,zone_df,
CW_PotFluxPos,CW,Crop Water,zone_df,
CW_PotFluxSum,CW,Crop Water,zone_df,
CW_PotFluxSumAbs,CW,Crop Water,zonelayer_df,
CW_PotRadial,CW,Crop Water,zone_df,
CW_PotRange,CW,Crop Water,zonebuf_df,
CW_PotSoil,CW,Crop Water,zonebuf_df,
CW_PotSoilbest,CW,Crop Water,zone_df,
CW_PotSoilMax,CW,Crop Water,zone_df,
CW_PotSoilMin,CW,Crop Water,zone_df,
CW_PotSuctHalf,CW,Crop Water,zone_df,
CW_PotUptRange,CW,Crop Water,zonebuf_df,
CW_PStem,CW,Crop Water,zonelayer_df,
CW_PStemSum,CW,Crop Water,zone_df,
CW_PU,CW,Crop Water,zonelayerbuf_df,
CW_ScalingFacNeg,CW,Crop Water,zone_df,
CW_ScalingFacPos,CW,Crop Water,zone_df,
CW_ThetaRange,CW,Crop Water,zonelayerbuf_df,
CW_UptDeno,CW,Crop Water,zone_df,
CW_UptPot,CW,Crop Water,zone_df,
CW_UptRel,CW,Crop Water,zonelayer_df,
CW_UptRelDeno,CW,Crop Water,zone_df,
CW_UptTot,CW,Crop Water,zone_df,
CW_WettestVoxel,CW,Crop Water,zone_df,
CW_YDayWUotChange,CW,Crop Water,zone_df,
E_Alpha,E,Erosion,,
E_BulkDens,E,Erosion,,
E_CovEffT,E,Erosion,tree_df,
E_CoverFac,E,Erosion,zone_df,
E_CoverSum,E,Erosion,zone_df,
E_CumSoilInflowZn,E,Erosion,zone_df,
E_Epsilon,E,Erosion,,
E_Erosiveness,E,Erosion,,
E_ErosRose,E,Erosion,zone_df,
E_ErosUSLE,E,Erosion,zone_df,
E_Heat,E,Erosion,,
E_PloughDoY,E,Erosion,,
E_PloughEvent,E,Erosion,,
E_PloughPast,E,Erosion,,
E_PloughTime_is,E,Erosion,zone_df,
E_PloughTimeCal,E,Erosion,,
E_PloughY,E,Erosion,,
E_Rain,E,Erosion,zone_df,
E_SedConAvg,E,Erosion,,
E_SedConcinRunOff,E,Erosion,zone_df,
E_SlopeFac,E,Erosion,zone_df,
E_SoilInflow,E,Erosion,zone_df,
E_SoilLoss,E,Erosion,zone_df,
E_SoilLossCumZn,E,Erosion,zone_df,
E_SoilMoveCurr,E,Erosion,zone_df,
E_SoilMovPlou,E,Erosion,zone_df,
E_TopSoilDepthAct,E,Erosion,zone_df,
EVAP_CropWatDem,EVAP,Evaporation,zone_df,
EVAP_DailyPot,EVAP,Evaporation,,
EVAP_EpotDemandNotMetBy,EVAP,Evaporation,,
EVAP_FromDeadWood,EVAP,Evaporation,zone_df,
EVAP_InitWoodMoist,EVAP,Evaporation,zone_df,
EVAP_LightNotCaptured,EVAP,Evaporation,zone_df,
EVAP_Pot,EVAP,Evaporation,,
EVAP_PotSoilEvap,EVAP,Evaporation,zone_df,
EVAP_RedFact,EVAP,Evaporation,zone_df,
EVAP_SlashEvap,EVAP,Evaporation,zone_df,
EVAP_SlashInit,EVAP,Evaporation,zone_df,
EVAP_SlashWater,EVAP,Evaporation,zone_df,
EVAP_Surf,EVAP,Evaporation,zone_df,
EVAP_SurfCum,EVAP,Evaporation,zone_df,
EVAP_TreeWatDem,EVAP,Evaporation,tree_df,
EVAP_TTranspHist,EVAP,Evaporation,,
EVAP_WoodMoist,EVAP,Evaporation,zone_df,
EVAP_YesterdayTTransp,EVAP,Evaporation,,
G_Animal,G,Grazing / Livestock,pcomp_df,
G_AnimalBehModifiedManWght,G,Grazing / Livestock,zone_df,
G_AttrractGrasStL,G,Grazing / Livestock,zone_df,
G_BiomassGrazed,G,Grazing / Livestock,pcomp_df,
G_BiomDep,G,Grazing / Livestock,zone_df,
G_CumFeedSufficiency,G,Grazing / Livestock,pcomp_df,
G_Feed,G,Grazing / Livestock,pcomp_df,
G_GrazeAccess,G,Grazing / Livestock,zone_df,
G_Grazed,G,Grazing / Livestock,pcomp_df,
G_Grazed,G,Grazing / Livestock,pcomp_df,
G_GrazedBiomCum,G,Grazing / Livestock,pcomp_df,
G_GrazedPerZone,G,Grazing / Livestock,zonepcomp_df,
G_GrazeResp,G,Grazing / Livestock,pcomp_df,
G_GrazeToday_is,G,Grazing / Livestock,,
G_GrazingPressure,G,Grazing / Livestock,,
G_LivestWeightGain,G,Grazing / Livestock,pcomp_df,
G_ManureDirectWeight,G,Grazing / Livestock,zone_df,
G_ManureInputPerZone,G,Grazing / Livestock,zonepcomp_df,
G_ManureProd,G,Grazing / Livestock,pcomp_df,
G_Ndep,G,Grazing / Livestock,zone_df,
G_Pasture,G,Grazing / Livestock,,
G_StageDep,G,Grazing / Livestock,zone_df,
G_ZoneGrazeFrac,G,Grazing / Livestock,zone_df,
GHG_AnaerobIndic,GHG,Greenhouse Gas Emissions,zone_df,
GHG_AnaerobIndicCh,GHG,Greenhouse Gas Emissions,zone_df,
GHG_CH4FluxFld,GHG,Greenhouse Gas Emissions,,
GHG_CH4FluxZn,GHG,Greenhouse Gas Emissions,zone_df,
GHG_Cum_CH4_emission,GHG,Greenhouse Gas Emissions,,
